text,label
"Congratulations! You've won a free ticket to Goa. Click to claim now.","spam"
"Please call me when you reach home.","ham"
"Urgent! Your mobile number has been selected for a â‚¹2,00,000 prize.","spam"
"Are we meeting today at office?","ham"
"Free entry to the weekly jackpot draw. Reply YES to participate.","spam"
"Don't forget to bring your ID card tomorrow.","ham"
"You have won $1000 cash! Visit our website to claim.","spam"
"Hey, I sent you the documents. Please check.","ham"
"Win a brand new car! Offer valid for 24 hours only.","spam"
"Let's catch up in the evening?","ham"
